path,split,class_name,class_id,group,xml_path
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_1.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_1.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_10.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_10.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_100.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_100.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_101.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_101.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_102.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_102.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_103.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_103.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_104.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_104.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_105.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_105.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_106.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_106.xml
/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/images/crazing/crazing_107.jpg,train,crazing,0,G2,/Users/ananyakulkarni/Desktop/q hybrid traditional gans/NEU-DET/train/annotations/crazing_107.xml
